 mentions, sentiment,sender
[],0.329802662,magazine-montana-cola-lemon
[],0.593977511,magazine-montana-cola-lemon
[],0.885149837,rainier
[],0.989769042,magazine-montana-cola-lemon
[],0.165365949,magazine-montana-cola-lemon
[],0.979252279,magazine-montana-cola-lemon
[],0.171929479,rainier
[],0.23411946,magazine-montana-cola-lemon
[],0.582201123,magazine-montana-cola-lemon
['yellow-sink-comet-princess'],0.440251976,rainier
[],0.182998866,magazine-montana-cola-lemon
[],0.629211068,rainier
[],0.093816757,magazine-montana-cola-lemon
[],0.117624238,magazine-montana-cola-lemon
[],0.339433581,magazine-montana-cola-lemon
[],0.965245068,rainier
[],0.972754836,rainier
[],0.742310643,magazine-montana-cola-lemon
[],0.162040383,rainier
[],0.769963622,rainier
[],0.275660843,magazine-montana-cola-lemon
[],0.762695491,rainier
[],0.518871188,rainier
[],0.3306714,magazine-montana-cola-lemon
[],0.98195678,rainier
[],0.72644639,rainier
[],0.955578148,magazine-montana-cola-lemon
[],0.212844878,rainier
[],0.59944576,rainier
[],0.613412201,rainier
[],0.69449532,magazine-montana-cola-lemon
[],0.67040211,rainier
[],0.135242373,magazine-montana-cola-lemon
[],0.366763502,magazine-montana-cola-lemon
[],0.776810825,magazine-montana-cola-lemon
[],0.941560864,rainier
[],0.413908005,rainier
[],0.563396811,magazine-montana-cola-lemon
[],0.845136046,rainier
[],0.385411769,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.313357174,magazine-montana-cola-lemon
[],0.399025023,rainier
[],0.117101684,rainier
[],0.851531446,magazine-montana-cola-lemon
['rainier'],0.962921858,magazine-montana-cola-lemon
[],None,rainier
[],0.511842847,magazine-montana-cola-lemon
[],0.285155982,rainier
[],0.367281467,rainier
[],0.107149079,rainier
[],0.105508752,magazine-montana-cola-lemon
[],0.410037041,rainier
[],0.949363053,rainier
[],0.32565397,magazine-montana-cola-lemon
[],0.089339584,magazine-montana-cola-lemon
[],0.401077271,magazine-montana-cola-lemon
[],0.158116817,magazine-montana-cola-lemon
[],0.840439379,rainier
[],0.714635372,magazine-montana-cola-lemon
[],0.175690994,rainier
[],0.823158503,rainier
[],0.128348559,magazine-montana-cola-lemon
[],0.188208565,magazine-montana-cola-lemon
[],0.759504616,rainier
['king-sink-early-nebraska'],0.887314618,rainier
[],0.925540328,magazine-montana-cola-lemon
['rainier'],0.639118135,magazine-montana-cola-lemon
[],0.200373426,rainier
[],0.389928222,rainier
[],0.710681438,magazine-montana-cola-lemon
